Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,3.16329168371298,7.42538477443719,5.34954645713648,6.64289441498821,6.31671417557232,6.70499176434708,3.09120596217809,4.99566660464043,5.04545636736964,3.23032779912118,3.97025075884994,5.50968370660274,6.83574225868233,3.28032301082798,1.46123685558312,5.87863011736891,3.4381514618451,3.6835088668206,3.71116848303683,2.15553738839604,3.47412632772519,-3.18726208465478,2.60133945424236,5.90845704176624,4.73739989428658,2.14497205292487,4.07295912526591,4.41011097816961,2.3169793070342,0.164672535628412,-2.08608547652285,0.900259569351178,2.66085657684695,4.4944662172487,2.69397626803128,1.61917246554633,4.28004008396165,2.79654246248219,3.97048264471769,4.91776271928404,1.40552759630168,3.42214614922985,3.81109019636681,3.91402875394738,4.99586090263904,4.16581760729689,6.86860886265184,1.00762267839971,-2.92840018378425,3.08949464358115,3.14688136648287,1.76222254955427,2.32912252230449,2.87003603874221,0.659176889011206,1.00139442897607,3.17072986626918,2.01363921173214,1.65604085428095
India,3.72274253269815,2.93112773666002,5.99435326095099,7.45295012233009,-2.63577010985357,-0.0553287698314762,7.82596303033039,3.38792917600293,6.53970029627997,5.1572297360829,1.64293038388747,-0.553301312377613,3.29552113522355,1.18533626034041,9.14991201480568,1.66310363661293,7.2547645858358,5.71253208900177,-5.23818270278925,6.73582152799833,6.00620362381754,3.47573324031229,7.28889290124583,3.82073785597366,5.25429922330882,4.77656417048958,3.96535563390583,9.6277829198482,5.94734332826501,5.53345456306511,1.05683143294308,5.48239602167047,4.75077621965237,6.65892406734024,7.57449184032379,7.5495222488198,4.0498208490926,6.18441582090618,8.84575556105509,3.84099115681285,4.82396626390644,3.80397532137577,7.86038147553259,7.92293661286503,7.92343062149763,8.06073257303272,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.2413447428854,5.45635895072287,6.38610640094825,7.41022760508852,7.99625344413879,8.25630584417523,7.04382085538124,6.11958684138214,5.02387342771704
Israel,11.2038856174685,10.1561171576566,10.6957129751426,7.93719197503013,9.09396559916497,-0.0796447724232223,2.99502016577178,16.2419568132625,13.5657035064126,3.04405865901758,10.9510709502257,12.1465546445283,5.58746379267339,6.47616131759081,3.24281952748575,0.322503186280599,1.03529918585319,5.55508721869566,6.20781571249209,1.67044166063044,5.33992695684324,2.0824999678245,3.35910154527146,0.933213730344562,4.03694028908383,4.1901445864805,7.1397113698733,2.9100162043601,0.574746832416537,7.315199174933,7.72611516239357,7.75926609936013,4.11675639386306,7.42784526908483,6.60292483638582,5.03281699632532,3.9296726769599,3.91689355477342,3.11459706778045,7.45518207977373,0.118821461013411,-0.0148606388066952,0.970458595661455,4.18588231834032,3.91169333203911,5.56443510658072,5.77348255543507,2.99648306061574,0.924262605450494,5.60113767079041,4.7834974887954,2.25723754794416,4.14805455171508,3.75820019030697,2.2900921230342,3.98204637527108,3.53670318805928,3.45370251802824,3.51408454632801
Mexico,5.0000000024334,4.66441466819312,8.10688692769648,11.9054807682312,7.09999999585864,6.09613930404728,5.85492487760943,9.42327881833562,3.41862002555953,6.5024840333226,3.76246768583204,8.22880731164975,7.86111986077987,5.77682722978703,5.74448504962173,4.4174441350436,3.39063970677674,8.95694232825602,9.69817013786907,9.23325198388645,8.52560666281634,-0.520808041863248,-3.48642180362442,3.41081413532642,2.18769311647023,-3.07895537526313,1.72243931164817,1.28326099740492,4.10550933059433,5.17576838619527,4.21475483867759,3.54110241594962,1.94115584773009,4.94108067568743,-6.29123082110115,6.77325869445045,6.8468522786243,5.16392516795146,2.75355424748236,4.94245371467422,-0.404390126692846,-0.0398444814685348,1.44638268370363,3.92059081028791,2.30780706591736,4.49507789421408,2.29144571429802,1.14358458719398,-5.28574413681748,5.11811814321162,3.66300792950094,3.64232267941347,1.35409196151679,2.80434012838097,3.28799159933094,2.91054645929347,2.11808234691182,2.13595812119722,-0.145602324756538
Argentina,5.42784287951248,-0.852021523481966,-5.30819682651727,10.1302976614338,10.5694333403429,-0.659726171593704,3.1919966233703,4.82250078158646,9.67952600806899,3.04564331900328,5.65813108318036,1.62841651625511,2.81175404095775,5.53380439483222,-0.0284121027670921,-2.01825151667566,6.93414775537975,-4.50612480247693,10.2227634648727,1.51878394940456,-5.18978914005386,-0.735659161627297,4.34909327957422,1.57073870223007,-5.18902435215529,6.15337706274559,2.70486882600891,-1.08993334173134,-7.15694965554972,-2.46721377637459,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.52668982715234,8.1110467707457,3.85017885156229,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.66859037935303,-2.48179244509274,-2.16295212091666
Brazil,10.275911554301,5.21605942017898,0.874672592408302,3.4855823042772,3.05348789366924,4.15036023303348,4.91526567501124,11.4272823832672,9.73582688991279,8.76994747172604,11.2950868433502,12.0528022500388,13.9786916510762,9.04212031316945,5.20907590114368,9.79041016147646,4.60631806113751,3.23170956333574,6.76628496532688,9.11096015517168,-4.39335720034877,0.58024555339469,-3.40979347371638,5.26914314976867,7.94586174871237,7.98829510486274,3.59962946680869,-0.102672718383729,3.27945885796423,-3.10235594875007,1.51193723815426,-0.466913211737747,4.66516899045995,5.3345517016817,4.41673135543735,2.20753552677458,3.39484598484417,0.338097902952455,0.467937567378257,4.38794944267383,1.38989640325894,3.05346185795254,1.14082899810009,5.75996463871775,3.20213137990235,3.96198872184989,6.06987060771837,5.09419544732717,-0.125811999414864,7.52822583005563,3.97442540583816,1.92115031836302,3.00484630505706,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.31722399870793,1.13658557200958
"Hong Kong SAR, China",,14.2913389702046,15.7632286068623,8.62775731875163,14.6419472372134,1.7946006655077,1.60333343114527,3.39750587718841,11.3435637314325,9.20653237337883,7.29285829141111,10.6119320541751,12.2796354936862,2.41515913157704,0.491839702674326,16.1643367536657,11.7256554226109,8.26078090759151,11.5567741550933,10.1082075755989,9.26080129194303,2.9498813296761,5.97695635443107,9.97384986631845,0.757032869410708,11.0560709347213,13.3984606040878,8.51156929324046,2.27699189745741,3.83060149506376,5.70190893957252,6.23494789601044,6.20113097057691,6.0360338176844,2.3737703342769,4.25848619314347,5.09969975287008,-5.88267626827786,2.50669906793269,7.66346261275292,0.560858778494804,1.65665357481389,3.05628534472791,8.70006536399657,7.38812786484245,7.03262264226861,6.46470795853966,2.12795590980892,-2.45908251876125,6.76767388348397,4.81467614434898,1.70027477144173,3.10154977999942,2.76239199769752,2.38781132673242,2.16947479147412,3.79100547995139,2.86156493383429,-1.1882723496098
European Union,,,,,,,,,,,3.66071476887089,4.7862006189003,6.03357912486987,3.09739895333587,-0.646518634164963,4.8983866766829,2.87730032418061,3.057805392422,3.84504511889303,2.07087316498659,0.502084520336822,0.815903161016578,1.44068542171311,2.48514471872005,2.35060637520255,2.58624094032929,2.52736146597921,4.16854491771636,3.92420364588513,3.37021734966886,1.80937650173796,1.14744996669624,-0.565727203469919,2.65369046094884,2.66376836672731,1.89422006232446,2.66328306858713,3.01888861162946,2.96094500840699,3.90371138654604,2.18886705253121,1.12308081154495,0.927880698382893,2.60322183807389,1.93036700224005,3.4954192738557,3.15408241288428,0.645845140431305,-4.32982586138098,2.19538212792128,1.8403183367316,-0.742956810111991,-0.0575096583778532,1.5822014470193,2.35660038497274,2.05040506408807,2.72631680535484,2.14679089800418,1.52288591599461
Germany,,,,,,,,,,,3.13269974699064,4.30034129798493,4.77748691493301,0.890068708241017,-0.866738897397596,4.94925839024336,3.34721809157305,3.00849287649234,4.15036332866411,1.40882865990888,0.529240542214367,-0.394840749338101,1.57241015030965,2.8229478325773,2.32793522286853,2.28733926717875,1.40215157719238,3.70723566525066,3.89655172201118,5.25500608859595,5.10826150765951,1.92807343038962,-0.979339906561634,2.398049086341,1.5347974754814,0.820953826499334,1.7836372384923,2.01904748909297,1.89195900764383,2.89518694712132,1.69773236086638,-0.198459062728844,-0.713533477235572,1.18991490034335,0.721853764966724,3.81458790454661,2.98407727316592,0.96226644174557,-5.69715162828702,4.1789690378929,3.92413341771297,0.41955108005358,0.428243261672193,2.22568874914928,1.73974982269824,2.22999996699747,2.46503002917808,1.52744629830981,0.564174893341843
United Kingdom,2.67711894345372,1.1029096492187,4.8743839976478,5.53365938602349,2.14217654354569,1.57310041405223,2.78647464167507,5.44108343766115,1.92409683469894,3.77118804420502,3.5047174035337,4.32166760381763,6.52384844275322,-2.48440397923183,-1.47364950354959,2.91026615187553,2.45775049477659,4.20426051317662,3.74901660548265,-2.03136779203513,-0.787743828172268,1.99489122692609,4.22185634982286,2.2691051510253,4.14741499991639,3.15034058844796,5.39273831478384,5.73241362854677,2.57760276867469,0.733755493255472,-1.10312162538612,0.401082054991278,2.48983094838555,3.84600917388178,2.53167002781396,2.49153316331814,3.85482995208896,3.64485340470566,3.42822335047983,3.43747162195275,2.97436368031538,2.32435110202924,3.28637757120269,2.37395144077968,3.17972892405965,2.78832455947308,2.43055321242285,-0.281153589519334,-4.24782174662953,1.94952148180782,1.54014736820638,1.4789239471568,2.13948570108317,2.6074759063105,2.35552430595799,1.91815510596298,1.89207703836381,1.34072057725849,1.40864210073207
Indonesia,5.74064582266813,1.84197770236842,-2.23702998571657,3.52969814993797,1.08158946626055,2.79134682484525,1.38040280607036,10.9151785714295,6.82229824913611,7.55463451394223,7.02399719740848,7.03764320785962,8.1039755351653,7.6346729055067,4.97730086669512,6.88656497352524,8.76132560106355,6.7670698576317,7.32430948559606,9.88007752166418,7.92715682412874,2.24644534036375,4.19296736819987,6.97552780884124,2.46214356422554,5.87504510359862,4.92592736496613,5.7804984881177,7.45658692516847,7.24213163856462,6.91198283591309,6.49750651682714,6.49640812045304,7.53997109551439,8.22000739903493,7.81818707670867,4.69987885390397,-13.1267254923818,0.79112608199847,4.9200677470169,3.64346644721493,4.49947539085764,4.78036912167654,5.03087394501685,5.69257130383384,5.50095178520348,6.34502222667214,6.01370360009123,4.62887118256154,6.22385418062366,6.16978420771008,6.03005065305612,5.55726368891013,5.006668425755,4.87632230022122,5.0330691828018,5.06978590134916,5.16970560898147,5.02471402216969
China,-27.2700000039461,-5.579999990136,10.2999999952758,18.179999994202,16.950000002496,10.6500000041736,-5.77000000422507,-4.09999999214143,16.9399999961092,19.299999996256,7.0600000033518,3.80999999825444,7.7600000016445,2.31000000049113,8.72000000047512,-1.57000000275067,7.56999999917167,11.3263092085172,7.59999999999992,7.80669144981412,5.17241379310364,8.93442622950798,10.8352144469528,15.1391717583163,13.4433962264149,8.93970893970905,11.6889312977099,11.2345151644597,4.1858678955452,3.90711389605602,9.29407591344456,14.2161635832522,13.8675760159135,13.0521587222366,10.9492273730679,9.92837246319161,9.23076923076943,7.83761391880653,7.66748617086679,8.49150849150845,8.33991054985508,9.13064594463357,10.0356030262571,10.1112234580385,11.3957759412307,12.7194790206907,14.2313880356882,9.65428937259911,9.39981317141519,10.6361404632298,9.55091409001017,7.85962749328517,7.76861528412817,7.42452365619906,7.04185620085329,6.84872842271704,6.94620009249279,6.75161439114392,6.10856062651904
Japan,12.0435364080116,8.90897299558067,8.47364238279391,11.6767081963977,5.81970787298265,10.6385615591629,11.0821423246929,12.8824681383234,12.4778945144976,0.399050644836535,4.69899204223367,8.41354725524519,8.03259997464167,-1.22523982754012,3.09157591621805,3.97498409101746,4.39033795024311,5.27194150294601,5.48404183245223,2.81759120758123,4.209336465291,3.31245673720863,3.52304498514673,4.50199481615527,5.23338094683929,3.32652561629578,4.73066586036906,6.78502010949815,4.85803768630618,4.89271306575883,3.4174967617614,0.848069581292606,-0.517919847232037,0.993066363300827,2.74214032208901,3.0999992907731,1.07604523419364,-1.12840982885864,-0.251954272087815,2.77963282527575,0.406335903186886,0.117992776763344,1.52822014815892,2.20468788231713,1.662670405184,1.42000655604446,1.65418388116969,-1.09354060040749,-5.41641279673664,4.19173925858955,-0.115421339717841,1.49508958594926,2.0002678411015,0.374719476331322,1.22292104108077,0.521944455410846,2.16829073735609,0.323207337907206,0.654151650312727
United States,2.29999999999968,6.10000000000012,4.39999999999992,5.8000000000003,6.39999999999976,6.50000000000028,2.50000000000003,4.79999999999959,3.09999999999999,-0.254079592763304,3.29336237777143,5.25889535776155,5.64571947037473,-0.540546529074902,-0.2054640121342,5.38813922657351,4.62415920683689,5.53530269328533,3.16615027095321,-0.256751930992138,2.53771869780746,-1.80287445271176,4.58392731566101,7.23661999357385,4.16965595430243,3.46265171279892,3.45957255534883,4.17704638444378,3.67265632851046,1.88596032309418,-0.108259105278663,3.52244249386644,2.75284432688012,4.0288390635428,2.68428713241977,3.77250131926519,4.44721634273408,4.48140755451207,4.75323598879717,4.12748401355853,0.9983407946565,1.7416952497298,2.86121076741024,3.79889112662393,3.51321379665302,2.85497229170015,1.87617145846693,-0.136579805460741,-2.53675706585665,2.56376655876581,1.55083550568156,2.24954585236993,1.84208107101101,2.45197303536034,2.88091046605219,1.56721516997864,2.21701033031884,2.92732272821085,2.33357749194288
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9999956422359,-5.0469394513088,-14.5310737738049,-8.66854034144579,-12.5697559797162,-4.14352840569047,-3.75506943907955,1.39991580471732,-5.2999616253821,6.39991468983681,10.0000668157438,5.10005122514625,4.69999190886614,7.29995234455738,7.19994786981049,6.39996544796642,8.20006825495364,8.4999777684714,5.19996926508013,-7.79999391345689,4.5000000000145,4.30002918578833,4.02408615717977,1.7554221491628,0.736267221403764,-1.9727192264298,0.193690071774782,1.82579006356434,2.53633130144783,1.3418754406612
United Arab Emirates,,,,,,,,,,,,,,,,16.5268565060148,21.4393301701989,-1.58960331991595,20.9235730770152,23.874774910498,4.65917667406515,-6.71931618570784,-4.7458206999658,4.0169512795941,-3.59447651736838,-14.9581365645327,3.38198170900878,-2.61890770383279,12.33789128226,18.3279855336405,0.860081945778219,3.3449448618412,1.26119095149724,6.89614855052668,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.8527042125986,1.3990850303263,2.43345681036156,8.80054081486432,9.56643663716162,4.85514119630905,9.83731977348489,3.1843901736724,3.19183627610384,-5.2429219066759,1.60280996068229,6.93027162943835,4.4846260849087,5.05334582526655,4.2843036857948,5.10593698394698,3.06096430837654,2.37353670828252,1.18985564163665,1.67772037080395